,user,text,favorite_count,retweet_count,created_at
155,elonmusk,@AlecStapp He sounds great,5425,292,2023-04-08 05:29:57+00:00
156,elonmusk,@DurantQuotesBot Sigh,3124,238,2023-04-08 05:29:28+00:00
157,elonmusk,@stillgray Parents are not allowed to know what teachers are telling their kids?,127513,16140,2023-04-08 02:10:46+00:00
158,elonmusk,@stillgray !!,28802,1663,2023-04-08 01:22:59+00:00
159,elonmusk,@WholeMarsBlog True,7008,369,2023-04-08 01:17:57+00:00
160,elonmusk,"@HeidiBriones @strxwmxn For a Community Note to be shown widely, it must be approved by multiple reviewers with different viewpoints. 

If both left &amp; right wing reviewers agree on a Note, then it is highly likely to be accurate!

This is a big part of the (not) secret sauce.

It is all open source.",1864,180,2023-04-08 01:13:09+00:00
161,elonmusk,@SciGuySpace Just a scratch,3095,131,2023-04-08 01:09:02+00:00
162,elonmusk,"@ylecun @yoavgo No one at OpenAI signed it, so it’s irrelevant",1323,93,2023-04-08 01:01:20+00:00
163,elonmusk,Caused by expired ground station cert. We’re scrubbing the system for other single-point vulnerabilities.,18698,1304,2023-04-08 01:00:18+00:00
164,elonmusk,"Sorry, slight glitch with @SpaceX Starlink. Coming back online now.",47652,3326,2023-04-08 00:58:10+00:00
165,elonmusk,"@terronk Also, believe your eyes as you walk around downtown SF. It’s insane.",1838,193,2023-04-08 00:44:56+00:00
166,elonmusk,@terronk Well-said,3346,207,2023-04-08 00:44:17+00:00
167,elonmusk,"@CSI_Starbase @LabPadre High-strength stainless steel armor is needed to protect the launch stand from the world’s biggest blowtorch!

Even steel will be eroded fast by the Starship booster plume. We will need to make a water-cooled steel jacket to achieve full reusability.",11667,911,2023-04-08 00:43:26+00:00
168,elonmusk,@WholeMarsBlog I am dumb way more often than I’d like to be!,16291,1181,2023-04-08 00:36:23+00:00
169,elonmusk,"@thatrpb @micsolana Most critics these days seem to write for each other, rather than the public. 

I miss Roger Ebert.",1832,136,2023-04-08 00:22:19+00:00
170,elonmusk,"@ylecun Yeah, cockatoos too!",2414,155,2023-04-08 00:01:36+00:00
171,elonmusk,@greg_price11 Sounds messed up,13820,1586,2023-04-07 23:54:12+00:00
172,elonmusk,@TitterDaily This will be great for reducing impersonation risk,44049,2967,2023-04-07 20:37:32+00:00
173,elonmusk,@TheBabylonBee 🤔,8739,517,2023-04-07 19:29:43+00:00
174,elonmusk,@Chad_Hurley Ok,1354,74,2023-04-07 18:30:38+00:00
175,elonmusk,@WallStreetSilv This trend will accelerate,12001,1350,2023-04-07 18:30:18+00:00
176,elonmusk,"@SF___Tahoe True, it was my worst decision ever",8803,420,2023-04-07 18:24:39+00:00
177,elonmusk,https://t.co/3CsNcMZdtT,91133,9553,2023-04-07 18:01:06+00:00
178,elonmusk,@amuse @Riley_Gaines_ Messed up,8480,718,2023-04-07 17:57:13+00:00
179,elonmusk,@UpdatingOnRome 🤣 🪴 🧟‍♂️,2580,132,2023-04-07 17:54:34+00:00
180,elonmusk,@slashdot Noice,4354,254,2023-04-07 17:41:06+00:00
